seed,generation,feasible_count,front0_count,feasible_front0_count,min_avg_distance_km,max_coverage_80km_pct,min_p95_distance_km,min_budget_violation_brl
123,113,100,14,14,40.617051,90.315702,97.538056,0.0
123,114,100,14,14,40.617051,90.315702,97.538056,0.0
123,115,100,14,14,40.617051,90.315702,97.538056,0.0
123,116,100,14,14,40.617051,90.315702,97.538056,0.0
123,117,100,14,14,40.617051,90.315702,97.538056,0.0
123,118,100,15,15,40.617051,90.315702,97.538056,0.0
123,119,100,16,16,40.617051,90.402558,97.538056,0.0
123,120,100,17,17,40.617051,90.402558,97.538056,0.0
123,121,100,13,13,40.243241,90.402558,97.538056,0.0
123,122,100,13,13,40.243241,90.402558,97.538056,0.0
123,123,100,13,13,40.243241,90.402558,97.538056,0.0
123,124,100,14,14,40.243241,90.402558,97.538056,0.0
123,125,100,15,15,40.243241,90.402558,97.538056,0.0
123,126,100,15,15,40.243241,90.402558,97.538056,0.0
123,127,100,15,15,40.243241,90.402558,97.538056,0.0
123,128,100,15,15,40.243241,90.402558,97.538056,0.0
123,129,100,15,15,40.243241,90.402558,97.538056,0.0
123,130,100,15,15,40.243241,90.402558,97.538056,0.0
123,131,100,15,15,40.243241,90.402558,97.538056,0.0
123,132,100,15,15,40.243241,90.402558,97.538056,0.0
123,133,100,15,15,40.243241,90.402558,97.538056,0.0
123,134,100,16,16,40.243241,90.402558,97.538056,0.0
123,135,100,16,16,40.243241,90.402558,97.538056,0.0
123,136,100,15,15,40.243241,90.402558,97.538056,0.0
123,137,100,15,15,40.243241,90.402558,97.538056,0.0
123,138,100,15,15,40.243241,90.402558,97.538056,0.0
123,139,100,15,15,40.243241,90.402558,97.538056,0.0
123,140,100,16,16,40.174998,90.402558,97.538056,0.0
123,141,100,16,16,40.174998,90.402558,97.538056,0.0
123,142,100,16,16,40.174998,90.402558,97.538056,0.0
123,143,100,16,16,40.174998,90.402558,97.538056,0.0
123,144,100,16,16,40.174998,90.402558,97.538056,0.0
123,145,100,15,15,40.174998,90.402558,97.538056,0.0
123,146,100,15,15,40.174998,90.402558,97.538056,0.0
123,147,100,15,15,40.174998,90.402558,97.538056,0.0
123,148,100,15,15,40.174998,90.402558,97.538056,0.0
123,149,100,16,16,40.174998,90.402558,97.538056,0.0
123,150,100,16,16,40.174998,90.402558,97.538056,0.0
123,151,100,17,17,40.174998,90.402558,97.538056,0.0
123,152,100,18,18,40.174998,90.402558,97.538056,0.0
123,153,100,18,18,40.174998,90.402558,97.538056,0.0
123,154,100,18,18,40.174998,90.402558,97.538056,0.0
123,155,100,18,18,40.174998,90.402558,97.538056,0.0
123,156,100,18,18,40.174998,90.402558,97.538056,0.0
123,157,100,18,18,40.174998,90.402558,97.538056,0.0
123,158,100,18,18,40.174998,90.402558,97.538056,0.0
123,159,100,20,20,40.174998,90.402558,97.538056,0.0
123,160,100,22,22,40.174998,90.402558,97.538056,0.0
123,161,100,19,19,40.174998,90.402558,97.538056,0.0
123,162,100,20,20,40.174998,90.402558,97.538056,0.0
123,163,100,20,20,40.174998,90.402558,97.538056,0.0
123,164,100,9,9,40.104734,90.402558,97.538056,0.0
123,165,100,9,9,40.104734,90.402558,97.538056,0.0
123,166,100,9,9,40.104734,90.402558,97.538056,0.0
123,167,100,9,9,40.104734,90.402558,97.538056,0.0
123,168,100,9,9,40.104734,90.402558,97.538056,0.0
123,169,100,9,9,40.104734,90.402558,97.538056,0.0
123,170,100,9,9,40.104734,90.402558,97.538056,0.0
123,171,100,9,9,40.104734,90.402558,97.538056,0.0
123,172,100,10,10,40.068234,90.402558,97.538056,0.0
123,173,100,11,11,40.068234,90.402558,97.538056,0.0
123,174,100,11,11,40.068234,90.402558,97.538056,0.0
123,175,100,11,11,40.068234,90.402558,97.538056,0.0
